actor_id,movie_id,role,id
31611,290070,"Himself/Schindler mourner",315
31780,289558,"Manny Ray",316
31802,313479,"Bib Fortuna",317
32164,169942,"Brig. Gen. Matt Merrin",318
32374,190166,Gregory,319
32610,186431,"Japanese Businessman",320
32627,144861,"Fred, Coffinmaker",321
32648,313059,"Mayor Grundy",322
32710,15936,"Sheriff Battisfore",323
32804,15936,"Dr. Matthew Smith",324
32842,313478,Stormtrooper,325
32989,289109,"Jean's Son",326
33024,112290,"Cop at Marla's Building",327
33044,230151,"Arthur Jensen",328
33046,1711,"Dr. Rolf Halvorsen",329
33287,200521,"Smiling Peanut Patron #1",330
33289,54726,"Moto Man",331
33492,1711,Astronaut,332
33492,92616,"Lt. W.D. Kivel",333
33579,287719,Voldar,334
33582,306032,Neil,335
33589,182955,"Sgt. Richard Alex 'Dick' Sten",336
33800,312934,"Bit part",337
33865,306032,Errol,338
33870,324371,Scalper,339
33920,121538,Marine,340
34116,186439,"",341
34166,312934,POW,342
34214,313479,"Barada/Stormtrooper/Biker sco",343
34278,129439,"Julian Dice",344
34372,287782,"Ebner Frost",345
34375,969,"Juror #10",346
34855,56044,Dealer,347
34997,302150,Hooligan,348
35131,313479,Ewok,349
35214,250612,"Shell-shock victim",350
35269,1711,Ape,351
35306,313059,"Mr. Lachance",352
35387,131780,"Parole Officer",353
35465,281937,"Dr. Abraham Sapirstein",354
35641,13978,"Cop #2",355
35670,276085,"E.R. Doctor",356
36051,289558,"M.C. at Babylon Club",357
36077,290070,"SS NCO, ghetto",358
36392,165961,"TV Interviewer",359
36453,290070,"Clerk at depot",360
36472,267038,"Long-Hair Yuppie Scum/""Zorro""",361
36472,276217,"Young cop (also radio play ba",362
36631,153985,Pedestrian,363
36631,316323,"Tennis umpire",364
36638,250612,"Capt. Nichols (artillery spot",365
36641,10920,"Russ Jorden",366
36856,289558,Seidelbaum,367
37048,121538,Marine,368
37101,33848,Scott,369
37116,313479,Ewok,370
37145,64729,Entertainer,371
37193,186439,"Sergeant at Cairo headquarter",372
37237,186439,"",373
37332,86274,Hostage,374
37603,352639,Salesman,375
37637,32178,Beast,376
37790,13789,"Ricky Fitts",377
37824,17676,Jerome,378
37964,129439,Rafael,379
38010,235062,"Sgt. Emile Klinger",380
38070,33923,Malluch,381
38155,169942,"Waiter at court lounge",382
38186,257459,"Staff Sgt. Bob Barnes",383
38288,337166,"Additional Voices",384
38333,130358,"Mort Ginsberg",385
38413,218415,"Additional Voice",386
38703,240922,"Sidney, the Butler",387
38711,186431,"Dr. Benjamin Trace",388
38767,64833,Mayor/Janitor,389
38767,216964,"Cafe proprietor",390
38828,290070,"SS NCO, Zablocie",391
39015,270971,"Musician #1",392
39044,141544,Ralph,393
39044,328277,"Todd Voight",394
39064,2136,Smithers,395
39086,30431,"Lord Ludd",396
39129,328277,Bryant,397
39146,130358,Himself,398
39421,14942,Javier,399
39563,169942,"Maj. Abe Radnitz (Lawson's as",400
39565,163485,"",401
39910,270971,"Arresting deputy #2",402
39986,17760,"Annie's Date Outside Theatre",403
40131,256632,Twigg,404
40172,92616,"Lt. H.R. Dietrich",405
40195,91758,"Bit part",406
40277,241347,"Ellis, tall bald patient",407
40460,54726,Dancers,408
40485,56304,"Maitre d'",409
40592,17760,"Waiter #1 at Nightclub",410
41300,273585,Policeman,411
41348,342384,"",412
41367,117874,"Army Bus Driver",413
42186,375706,Janitor,414
42278,10920,"Cpl. Dwayne Hicks",415
42278,328277,"Kyle Reese (Ultimate Edition)",416
42352,198435,Secretary,417
42416,14942,"Man at Meeting",418
42423,313479,"Barquin D'an/Boba Fett (speci",419
42561,291698,"Sweating Cop at Massage Parlo",420
42826,241141,Assassin,421
42944,33923,Mario,422
42960,46169,Phillip,423
43127,30431,"Recruiting soldier",424
43224,70391,Cop,425
43264,969,"Juror #6",426
43264,169942,"Sen. Burkette",427
43264,235062,"Capt. Junket (Nassau County d",428
43451,113504,Squirt,429
43544,182955,"Raymond 'Sugar Ray' Collins",430
43766,1711,"Aries 1B Lunar shuttle captai",431
43785,287719,Lomas,432
43837,54726,"Hotel Clerk",433
43912,130358,"Yellow Teeth",434
43967,112290,"Food Court Maitre'd",435
43977,290070,"Mr. Lowenstein",436
43986,212097,"Georg (No. 11811)",437
43994,123572,"Nehru's Friend",438
44318,253440,"Mr. Vogler",439
44573,131780,"Freddy No Nose",440
44600,218415,"George Sanderson",441
44715,240922,"Luke, sympathetic Negro",442
44722,200521,"Stanley Spector",443
44737,30959,"Court Reporter",444
44739,281937,"Roman Castevet",445
44757,313479,Ewok,446
44854,193253,"Rory Breaker",447
44981,270971,"State Atty. Bronson",448
44990,287719,"TV News Announcer",449
45029,291698,"Cop at Massage Parlour",450
45081,342384,"Old Man Patient",451
45109,200521,"Arthur Barringer",452
45134,117874,"Wesley, SDS organizer",453
45154,131780,"Judge - 1971",454
45168,144861,"Gillis, Saloon Owner",455
45168,319181,"1st Finance man",456
45176,224842,"Cop in park",457
45190,56044,"Waiter at the Blue Parrot",458
45243,267038,"Wilson's trainer",459
45268,134672,"Man with snow shovel",460
45750,337307,"The Moon Beast",461
45854,375706,Teenager,462
45905,12937,Commendatore,463
46035,224842,Sibling,464
46506,241141,"Young Patsy",465
46531,56304,"Don Ward",466
46545,256632,"Will Turner",467
46692,56044,American,468
46793,112290,"Car Salesman",469
46909,216964,"Gamin's father",470
46963,198435,"Becker's barrister",471
46980,121538,"Poge Colonel",472
46980,313478,"General Carlist Rieekan",473
47025,18498,"The Dirty Filthy Hippie",474
47101,184978,"Chuck Boran",475
47216,280803,"Flower man",476
47257,86274,"Harry Ellis",477
47432,287719,Winky,478
47548,109093,"Mr. Mohra",479
47571,117874,"U of A Assistant Football Coa",480
47595,328277,"Dr. Peter Silberman",481
47705,14942,"Man 1",482
47748,56044,"Rick Blaine",483
47839,89147,"TV Anchorman",484
48064,109093,Lou,485
48139,56044,Pickpocket,486
48233,375706,Cop,487
48294,187908,Andy,488
48719,235062,"Man with camera",489
48737,186439,"Officer with pipe gazing at L",490
48969,70391,Singer,491
48977,64729,"Signor Matiste",492
48977,91758,"Sam Garlopis",493
49108,969,Judge,494
49108,240922,"Moose, sympathetic",495
49120,131240,"Tom (Yankee captain)",496
49120,163288,"Bus driver #1",497
49120,163485,"Officer Bert",498
49242,313479,"Stormtrooper/Nien Nunb/Mon Ca",499
49310,127627,"High School Kid #5",500
49502,86274,Kristoff,501
49588,120528,Dancer,502
49692,56304,Moosh,503
49692,131780,"Mikey Franzese",504
49692,270971,Guido,505
49724,235676,Waiter,506
49922,30959,"",507
49922,210511,"Burt Hadley",508
49922,291698,"Greasy FBI Man",509
49993,257459,"Soldier with mowhawk haircut",510
50074,30431,"King George III",511
50085,30959,Thug,512
50260,11108,"Frenchman at Margo's cocktail",513
50442,273543,"",514
50561,224842,"Murder scene spectator",515
50569,211506,Grandfather,516
50700,291698,"Eli Gould (Sin of Greed)",517
51319,260430,Harvey,518
51398,182955,"Forensic Officer",519
51509,117874,"Aging Hippie",520
51534,309597,"Mr. Taylor",521
51561,221130,"Family man",522
51588,30959,Clubber,523
51603,308396,"",524
51604,308396,"",525
51740,18960,"Lance B. Johnson",526
51754,2136,"Rocky Douglas",527
51909,121538,Marine,528
52396,112290,"Bruised Bar Patron #1",529
52867,184978,"Gas Station Attendant",530
52867,280270,"Club Corner Man",531
52888,117874,"National Correspondent #4",532
52927,224842,"Cop at barricade",533
52941,224842,"Young Dave",534
52978,176711,Buck,535
52978,200521,"Rick Spector",536
53076,86274,"Kissing Man",537
53198,117874,"Fat Boy",538
53291,123572,"Court Reporter",539
53364,89147,"Mulvaney, Bank Manager",540
53441,224842,"Michael Boyle",541
53534,33923,Messala,542
53692,30431,"Seamus Feeny (Capt. Feeny's s",543
53749,326155,Wizard,544
54163,290070,"DEF foreman",545
54225,127627,"High School Kid #4",546
54304,14110,Joe,547
54326,163288,Henderson,548
54331,70404,"",549
54378,56304,"TV Newsman",550
54409,131780,"Bruce's Brother #2",551
54440,31274,Mason,552
54812,37057,"Old Zacky",553
54814,30959,"Joe Chill",554
54978,159172,"Hatay Soldier in Temple",555
55056,312934,Duke,556
55108,109093,"Stan Grossman",557
55174,18960,"Col. Walter E. Kurtz",558
55174,240922,"Terry Malloy",559
55210,289558,"Immigration officer #3",560
55314,169942,"Friedrich Hofstetter (defenda",561
55690,58542,"Womb Edison",562
55691,58542,"Womb Edison",563
55838,169942,"Court officer/Translator",564
55908,287712,"",565
56056,310141,Max,566
56063,151052,Captain,567
56130,163288,Boy,568
56177,273585,"Hotel Desk Clerk",569
56329,11440,"Herr Meyer",570
56345,241141,Mandy,571
56450,290070,"DEF guard",572
56494,117874,"Himself (shoots George Wallac",573
56513,306032,Mullet,574
56513,337830,Spud,575
56557,82681,Kyle,576
56559,307913,Bellhop,577
56856,270971,"Heckler (Fox fight)",578
56984,190166,"",579
56996,182955,"Officer Escorting Mexicans",580
57056,200521,"Richard's Dad",581
57057,200521,Richard,582
57073,221130,"Senate reporter",583
57143,2136,"",584
57191,33848,Priest,585
57193,200521,"Geoff/Seminar Guy",586
57356,163485,Sheriff,587
57356,221130,"Sen. Dwight",588
57356,316323,"Tennis judge",589
57372,131665,"M.I.T. Student",590
57413,144861,"Deputy Sheriff Harvey Pell",591
57435,117874,"Hospital Officer",592
57435,342384,"Airport Detective",593
57467,342384,"Dr. Goodin",594
57550,221130,"Mr. Edwards (howling citizen)",595
57565,250612,"Capt. Sancy",596
57631,241141,"Chicken Joe",597
57731,130358,Priest,598
57916,287782,"Brat Kid",599
57957,117874,Newscaster,600
58141,85669,"The Storyteller",601
58196,131665,"Executive #2",602
58391,241347,"Col. Matterson",603
58566,224842,"Medical Examiner",604
58570,89147,"FBI Agent Sheldon",605
58855,313059,"Milo Pressman",606
58871,224842,Detective,607
58954,287712,"Niño",608
58963,281937,"Argyron Stavropoulos",609
58994,313479,"Malakili (Rancor Keeper)",610
59057,113504,Marlin,611
59057,326155,Tom,612
59067,13978,"Dr. Bob Sweeney",613
59112,241347,"Dr. John Spivey",614
59210,289109,"Pvt. Joe D'Amato",615
59224,131240,Gentleman,616
59225,131240,"Charles Hamilton",617
59227,276217,Holdaway,618
59385,86274,Cameraman,619
59482,232275,"",620
59491,26352,Clown,621
59673,241347,Miller,622
59797,163288,Reporter,623
59797,235676,Judge,624
59799,328277,"Tattooed biker",625
59886,26844,Starlighter,626
59962,131240,"Big Sam",627
60114,33923,"The Corinthian",628
60133,307913,"Osgood Fielding III",629
60134,316323,"Prof. Collins",630
60416,310141,"Dave Ryder",631
60423,129439,"Dice's Band Member",632
60426,129439,"Dice's Band Member",633
60442,33923,"Chief of Rowers",634
60479,15936,"George Lemon",635
60580,337307,"Dr. Sutton",636
60620,235676,"Mr. Hopkins",637
60663,280803,Correspondent,638
60734,26844,Pinhead,639
60899,235676,Reporter,640
60943,273585,"Major Giles Lacy",641
60976,324371,"Nick Miller",642
61411,289109,"Pvt. Alan Toynbe",643
61490,97342,Clarence,644
61700,120528,Luke,645
61737,235676,Photographer,646
61833,123572,"Principal Secretary",647
61879,184978,"Hip Kid",648
61880,352639,"Det. Capt. Hansen",649
61923,193253,"Traffic Warden",650
62160,375706,Punk,651
62226,97342,"Goon #1",652
62361,313478,"Holographic officer",653
62479,200521,"Young Boy",654
62556,306032,Gary,655
62617,163485,"",656
62745,290070,"Plaszow SS guard",657
62749,54726,"Officer Rodrigues",658
62891,276085,"Court Doctor",659
63146,86274,Fritz,660
63304,141544,Timmons,661
63409,92616,"Russian Ambassador Alexi de S",662
63445,89147,"Sgt. Gillis",663
63487,313478,"Boba Fett",664
63487,313479,"Boba Fett",665
63588,218415,"Additional Voice",666
63695,276217,"Mr. Blue",667
63803,64729,"Charles Foster Kane III",668
63804,221130,"Boy cheering for Smith in mee",669
63813,30959,"Shadow Warrior",670
63841,56304,"NGC Board Member",671
63924,129439,Engineer,672
63963,123572,Youth,673
64052,17760,"Street Stranger",674
64131,117874,"Pvt. Cleveland (from Detroit)",675
64164,230151,"Great Ahmed Kahn",676
64259,62076,"Farmer in the Valley",677
64279,313059,"Principal Wiggins",678
64328,163288,Detective,679
64359,289109,"Pvt. Thomas Young",680
64430,289109,"Soldier on the Beach",681
64432,198435,"",682
64451,200521,"WDKK Page #1",683
64493,184978,"Deputy Pete Ungar",684
64682,232275,"",685
64856,163288,"Best man",686
64857,289109,"Pvt. Richard Reiben",687
65057,273543,"Lars Thorwald",688
65161,313479,Ewok,689
65176,230151,"TV Director",690
65353,221130,"Sen. Dearhorn",691
65400,14110,"Ambassador Halden",692
65401,31274,Clinko,693
65405,186439,"",694
65411,364329,George,695
65421,58542,"Member of the Board",696
65437,280270,"Apollo's Trainer",697
65514,309597,"David Smith",698
65536,37057,"Norther Winslow",699
65536,109093,"Carl Showalter",700
65536,218415,"Randall Boggs",701
65536,267038,"Buddy Holly",702
65536,276217,"Mr. Pink",703
65565,169942,"Schmidt, (Haywood's chauffeur",704
65610,121538,Marine,705
65641,86274,"FBI Agent Johnson",706
65642,131240,Gentleman,707
65654,312934,Dancer,708
65655,313478,Dengar,709
65675,200521,"Paramedic #1",710
65892,14942,Jorge,711
66119,346949,"Eggs Anderson",712
66154,316323,"Blind man",713
66224,337307,"Budd Keeler",714
66299,58542,"Museum Security Guard",715
66350,290070,"Auschwitz guard",716
66418,271095,Omar,717
66479,33923,"Jew Slave in the Desert",718
66495,112290,"Inspector Dent",719
66495,200521,"Smiling Peanut Patron #2",720
66579,18960,"MP sergeant #1",721
66601,151052,Matt,722
66711,186431,Judge,723
66721,82681,Doug,724
66800,104338,"Train Conductor",725
66825,31274,"Parson Staffer",726
66825,46169,Smythe,727
66825,159172,Vogel,728
67337,250612,"Maj. Gouderc",729
67829,86274,Marco,730
68023,273543,"Man on fire escape",731
68121,241141,"Boy in park",732
68191,256632,Sailor,733
68239,287719,Rigna,734
68419,169942,"Hugo Wallner (Irene's husband",735
68424,30959,"Alfred Pennyworth",736
68501,56304,"Remo Gaggi",737
68570,287782,"Father of Boy in the corridor",738
68614,131780,"Godfather at Table",739
68754,267038,Paul,740
68803,271095,"Mean Mongolian",741
68900,131780,"Henry's older Brother",742
68937,235676,"Captain Paul Prescott",743
69058,287719,"Santa Claus",744
69139,324371,"Destroyed Future Inhabitant",745
69140,17760,"Ticket Seller at Theatre",746
69204,17760,"Lacey Party Guest",747
69226,336683,"Police Sergeant Pete Menzies",748
69231,129185,"Lucius' Attendant",749
69259,193253,Lenny,750
69328,12937,"Emanuel Schikaneder/Papageno",751
69555,287712,"",752
69788,54726,"Moto Man",753
69919,312934,"Bit part",754
70035,127627,"Man in Dryer",755
70148,241141,"Newspaper salesman",756
70251,15936,"Dr. W. Gregory Harcourt",757
70256,31274,"Leering Grin Bandit",758
70282,109093,"Soap Opera Actor",759
70296,26844,"1955 Radio Announcer",760
70398,14942,Mauricio,761
70437,37057,"Jump Leader",762
70471,134672,"Man in hallway",763
70557,346949,"Davey Bunting",764
70588,306032,Bouncer,765
70612,342384,Tiny,766
70621,324371,"Future Inhabitant",767
70862,289558,"Ronnie Echevierra",768
70893,141544,Dominick,769
70894,141544,Dominick,770
70910,131780,"Mr. Tony's Crew #1",771
71185,131780,"Prison Guard in Booth",772
71289,289558,Marielito,773
71345,70404,"Society Red",774
71355,131665,Prosecutor,775
71532,129185,"Maximus' Son",776
71565,18960,"Soldier with suitcase",777
71690,129439,Breakdancer,778
71699,306032,Liam,779
71744,33923,Sportsman,780
71746,131240,Renegade,781
71767,306032,Charlie,782
71811,33923,"The Byzantine",783
71871,250612,"Narrator of opening sequence/",784
71971,97342,Farley,785
72084,17760,"Truman Capote lookalike",786
72215,313478,"Officer M'kae (Capt. Needa's ",787
72275,97342,"Ed Sullivan",788
72356,112290,"Salvator - Winking Bartender",789
72672,346949,"Johnny Foley",790
72804,232275,"Landis/Fidel Castro",791
72954,221130,"The Vice President",792
72967,310141,Draker,793
72969,273585,Ben,794
72969,316323,"Anthonys' butler",795
73002,250612,"Pvt. Maurice Ferol",796
73009,121538,Marine,797
73278,280803,"Mario Delani, hairdresser",798
73474,131240,"Beau Wilkes",799
73475,340247,"Sheriff Freak",800
73592,186431,"German Businessman",801
73677,337830,Begbie,802
73718,270971,"Ring announcer (first Robinso",803
73771,280803,"Gen. Provno",804
73949,18960,"MP sergeant #2",805
73950,46169,Sean,806
74142,232275,"",807
74197,230151,"George Bosch",808
74203,221130,Announcer,809
74449,176711,Bill,810
74450,232275,"Mr. Wilson",811
74537,289558,Shooter,812
74580,198435,"",813
74594,33923,"Rower No. 28",814
74666,104338,"Joel Barish",815
74689,310141,Trask,816
74700,289558,"Pedro Quinn",817
74914,37057,"Spectre Citizen",818
74987,280270,"TV Interviewer",819
74991,235062,"The Professor",820
74991,273585,"Dr. Baker",821
74991,316323,"Sen. Morton",822
75016,165961,"Mr. Polk",823
75162,221130,"Sweeney Farrell (newsman)",824
75180,163288,"Guitar player on bus",825
75216,17760,"Rehearsal Stage Manager",826
75266,260430,"J. D. McQueen",827
75431,289558,"Vic Phillips",828
75464,313479,"Bib Fortuna",829
75651,123572,"European Passenger",830
75736,56304,"Ace's Photographer",831
75736,342384,"French War Photographer",832
75746,221130,Townsend,833
76252,190166,"Pilate's Wife",834
76291,97342,"Security Guard",835
76303,289558,Driver,836
76325,56304,"Sal Fusco",837
76325,131780,"Joe Buddha",838
76325,241141,"Al Capuano",839
