id,first_name,last_name,gender
11564,"Greg (III)",Anderson,M
11590,"J. Todd",Anderson,M
11599,"James (I)",Anderson,M
11616,"Jeff Scott",Anderson,M
11633,"John (I)",Anderson,M
11822,"Richard (I)",Anderson,M
11859,"Sam (I)",Anderson,M
12508,"David (I)",Andrews,M
12538,Giuseppe,Andrews,M
12552,"Jason (I)",Andrews,M
12638,"Stanley (I)",Andrews,M
12987,"Jack (I)",Angel,M
13083,Dom,Angelo,M
13505,Armando,Annuale,M
13514,Jack,Ano,M
13553,Joey,Ansah,M
13661,Norman,Anstey,M
13705,Jerry,Antes,M
13736,Bill,Anthony,M
13787,"Jack (II)",Anthony,M
14114,Lou,Antonio,M
14260,Vito,Antuofermo,M
14358,Hy,Anzell,M
14411,Hirayoshi,Aono,M
14519,Andreas,Apergis,M
14547,Pete,Apisa,M
14548,Robert,Apisa,M
14688,Peter,Appiano,M
14796,Bill,April,M
14819,Vinay,Apte,M
14854,Frank,Aquilino,M
15066,Tomas,Arana,M
15454,John,Arceri,M
15455,David,Arcerio,M
15596,"Louis V.",Arco,M
15711,Gino,Ardito,M
15788,Jorge,Arellano,M
15814,"Maurizio (I)",Arena,M
15851,Lee,Arenberg,M
16011,Victor,Argo,M
16133,"José (II)",Arias,M
16152,Tommy,Arias,M
16404,John,Arledge,M
16669,Alun,Armstrong,M
16791,"Neil (I)",Armstrong,M
16801,R.L.,Armstrong,M
16803,"Ray (II)",Armstrong,M
16844,"William (I)",Armstrong,M
17037,"Bret A.",Arnold,M
17057,Denny,Arnold,M
17064,Edward,Arnold,M
17201,"William (I)",Arnold,M
17317,Scott,Aronesty,M
17322,Michael,Aronin,M
17326,Abraham,Aronofsky,M
17433,Alexis,Arquette,M
17438,Richmond,Arquette,M
17602,Armando,Arriola,M
17677,Emanuel,Arruda,M
17946,Michael,Arturo,M
18347,Sam,Ash,M
18362,Anthony,Ashbee,M
18386,"John (I)",Ashby,M
18544,"John (III)",Ashley,M
18603,Al,Ashton,M
18736,Luke,Askew,M
18959,"Joachim Paul","Assböck",M
19022,"Hans-Jörg",Assmann,M
19081,Spencer,Aste,M
19350,Roscoe,Ates,M
19408,William,Atherton,M
19542,Fort,Atkinson,M
19720,Malcolm,Atterbury,M
20182,Edwin,August,M
20370,"Edward J.",Auregul,M
20464,"Pete (I)",Auster,M
20475,Albert,Austin,M
20519,Frank,Austin,M
20538,"Jeff (I)",Austin,M
20619,Shaun,Austin-Olsen,M
20729,Frankie,Avalon,M
20926,Rick,Avery,M
20933,Tol,Avery,M
20993,Christopher,Avildsen,M
21072,Uri,Avrahami,M
21373,Harry,Ayers,M
21491,Jeff,Ayres,M
21496,Lew,Ayres,M
21578,Hank,Azaria,M
21822,"Christian A.",Azzinaro,M
21823,Jeffrey,Azzinaro,M
22041,O.B.,Babbs,M
22057,"Michael (I)",Babcock,M
22073,Bob,Babenia,M
22555,Greg,Backstrom,M
22558,David,Backus,M
22585,Irving,Bacon,M
22591,Kevin,Bacon,M
22669,Michael,Badalucco,M
22700,Bolaji,Badejo,M
22736,Scott,Bader,M
22940,Richard,Baer,M
23076,Ross,Bagdasarian,M
23343,Bruce,Bahrenburg,M
23488,Eion,Bailey,M
23506,"Harry A.",Bailey,M
23587,Philip,Bailey,M
23589,Raymond,Bailey,M
23639,David,Bailie,M
23694,Kirk,Baily,M
23776,Scott,Baio,M
23987,Richard,Bakalyan,M
24124,"David (I)",Baker,M
24164,"Dylan (I)",Baker,M
24166,"Eddie (I)",Baker,M
24264,"Joe Don",Baker,M
24285,Julian,Baker,M
24298,"Kenny (I)",Baker,M
24424,"Simon (I)",Baker,M
24476,William,Bakewell,M
24624,Scott,Bakula,M
24973,Brad,Baldridge,M
24997,Bill,"Baldwin Sr.",M
25000,Adam,Baldwin,M
25018,"Daniel (I)",Baldwin,M
25064,"Peter (I)",Baldwin,M
25088,Walter,Baldwin,M
25103,Christian,Bale,M
25348,"Michael Henbury",Ballan,M
25407,Larry,Ballard,M
25458,Ugo,Ballerini,M
25652,Martin,Balsam,M
25664,Vito,Balsamo,M
25715,James,Balter,M
25743,Kirk,Baltz,M
25889,Eric,Bana,M
26018,John,Bandemer,M
26035,Ved,Bandhu,M
26409,Ian,Bannen,M
26505,Peter,Bannon,M
27045,Bobby,Barber,M
27124,Norman,Barbera,M
27427,"David Alan",Barclay,M
27472,Roy,Barcroft,M
27540,Trevor,Bardette,M
27601,Adam,Bareham,M
28036,Louis,Barlotti,M
28280,Johnny,Barnes,M
28330,Rayford,Barnes,M
28352,"Scott (I)",Barnes,M
28390,Angus,Barnett,M
28427,"John (II)",Barnett,M
28461,Vince,Barnett,M
28734,Byron,Barr,M
28790,Ron,Barracks,M
28885,"José Luis",Barraza,M
28912,Steve,Barredo,M
29005,Gil,Barreto,M
29036,"Benjamin (I)",Barrett,M
29136,"Robert (VI)",Barrett,M
29346,Baynes,Barron,M
29559,"Dave (I)",Barry,M
29707,Lionel,Barrymore,M
29849,Richard,Bartell,M
29902,Justin,Bartha,M
29999,Benny,Bartlett,M
30458,Bruno,Baschiera,M
30756,Todd,Bass,M
30801,Chuck,Bassett,M
30841,Jim,Bassier,M
31025,David,Basulto,M
31026,Joe,Basulto,M
31092,Dean,Batchelor,M
31611,Joseph,Bau,M
31780,Steven,Bauer,M
31802,Erik,Bauersfeld,M
32164,"Alan (I)",Baxter,M
32374,Terence,Bayler,M
32610,Yoshio,Be,M
32627,Guy,Beach,M
32648,Scott,Beach,M
32710,Royal,Beal,M
32804,Orson,Bean,M
32842,Lightning,Bear,M
32989,Martin,Beaton,M
33024,Lou,"Beatty Jr.",M
33044,Ned,Beatty,M
33046,"Robert (I)",Beatty,M
33287,Jim,Beaver,M
33289,Mark,Beaver,M
33492,Glenn,Beck,M
33579,Vincent,Beck,M
33582,"William (II)",Beck,M
33589,Graham,Beckel,M
33800,Rodric,Beckham,M
33865,Andy,Beckwith,M
33870,"Peter (I)",Beckwith,M
33920,John,Beddows,M
34116,Bruce,Beeby,M
34166,"Richard P.",Beedle,M
34214,Dickey,Beer,M
34278,Max,Beesley,M
34372,Ed,"Begley Jr.",M
34375,"Ed (I)",Begley,M
34855,Leon,Belasco,M
34997,Jamal,Belhadi,M
35131,"Bobby (I)",Bell,M
35214,Fred,Bell,M
35269,Jimmy,Bell,M
35306,Marshall,Bell,M
35387,Tobin,Bell,M
35465,Ralph,Bellamy,M
35641,"Thomas L.",Bellissimo,M
35670,Gregg,Bello,M
36051,Richard,Belzer,M
36077,Sigurd,Bemme,M
36392,Peter,Benchley,M
36453,Dirk,Bender,M
36472,Lawrence,Bender,M
36631,Brooks,Benedict,M
36638,Harold,Benedict,M
36641,"Jay (I)",Benedict,M
36856,Ted,Beniades,M
37048,Patrick,Benn,M
37101,"Nick (II)",Bennet,M
37116,"Alan (II)",Bennett,M
37145,"Charles (II)",Bennett,M
37193,"Fred (I)",Bennett,M
37237,"John (I)",Bennett,M
37332,Scot,Bennett,M
37603,"John (I)",Benson,M
37637,Robby,Benson,M
37790,Wes,Bentley,M
37824,Ephraim,Benton,M
37964,Eric,"Benét",M
38010,John,Beradino,M
38070,Ady,Berber,M
38155,Oscar,"Beregi Jr.",M
38186,Tom,Berenger,M
38288,"Greg (I)",Berg,M
38333,"Peter (I)",Berg,M
38413,Bob,Bergen,M
38703,Dan,Bergin,M
38711,Patrick,Bergin,M
38767,Henry,Bergman,M
38828,"Martin S.",Bergmann,M
39015,"Richard A.",Berk,M
39044,Xander,Berkeley,M
39064,Denis,Berkfeldt,M
39086,Steven,Berkoff,M
39129,Ennalls,Berl,M
39146,Milton,Berle,M
39421,Carlo,Bernal,M
39563,"Joseph (II)",Bernard,M
39565,"Joseph E.",Bernard,M
39910,"Wally K.",Berns,M
39986,Walter,Bernstein,M
40131,Michael,"Berry Jr.",M
40172,"Frank (I)",Berry,M
40195,"John (I)",Berry,M
40277,Michael,Berryman,M
40460,Gino,Berti,M
40485,Gino,Bertin,M
40592,Ricardo,Bertoni,M
41300,Billy,Bevan,M
41348,Dan,Bevilacqua,M
41367,Kenneth,Bevington,M
42186,Charly,Biddle,M
42278,Michael,Biehn,M
42352,Gerhard,Bienert,M
42416,"Jean Paul",Bierry,M
42423,Don,Bies,M
42561,Lexie,Bigham,M
42826,Salvatore,Billa,M
42944,Hugh,Billingsley,M
42960,Stephen,Billington,M
43127,John,Bindon,M
43224,Crawford,Binion,M
43264,Ed,Binns,M
43451,"Nicholas (II)",Bird,M
43544,Jeremiah,Birkett,M
43766,"Ed (I)",Bishop,M
43785,"Jim (I)",Bishop,M
43837,Rummy,Bishop,M
43912,Curt,Bisquera,M
43967,Joel,Bissonnette,M
43977,Henryk,Bista,M
43986,Erwin,Biswanger,M
43994,Raja,Biswas,M
44318,Gunnar,"Björnstrand",M
44573,Mikey,Black,M
44600,"Samuel Lord",Black,M
44715,"Don (I)",Blackman,M
44722,Jeremy,Blackman,M
44737,Abdul,Blackmanwest,M
44739,Sidney,Blackmer,M
44757,Danny,Blackner,M
44854,Vas,Blackwood,M
44981,D.J.,Blair,M
44990,Don,Blair,M
45029,"Ron (I)",Blair,M
45081,John,Blaisse,M
45109,Clement,Blake,M
45134,Geoffrey,Blake,M
45154,"Joel (I)",Blake,M
45168,"Larry J.",Blake,M
45176,Matty,Blake,M
45190,Oliver,Blake,M
45243,Don,Blakely,M
45268,Douglas,Blakeslee,M
45750,Joe,Blasco,M
45854,Tony,Blauer,M
45905,Jan,Blazek,M
46035,Andrew,Blesser,M
46506,Brian,Bloom,M
46531,"John (I)",Bloom,M
46545,Orlando,Bloom,M
46692,Monte,Blue,M
46793,Stuart,Blumberg,M
46909,Stanley,Blystone,M
46963,Rudolf,"Blümner",M
46980,Bruce,Boa,M
47025,Vincent,Boarini,M
47101,Mike,Bobenko,M
47216,Gildo,Bocci,M
47257,Hart,Bochner,M
47432,Ivor,Bodin,M
47548,Bain,Boehlke,M
47571,Jim,Boeke,M
47595,Earl,Boen,M
47705,Ernesto,Bog,M
47748,Humphrey,Bogart,M
47839,William,Bogert,M
48064,Bruce,Bohne,M
48139,Curt,Bois,M
48233,Jay,Boivin,M
48294,Hal,Bokar,M
48719,Stephen,Bolster,M
48737,Robert,Bolt,M
48969,Louie,Bonanno,M
48977,Fortunio,Bonanova,M
49108,Rudy,Bond,M
49120,Ward,Bond,M
49242,Richard,Bonehill,M
49310,David,Bonfadini,M
49502,"Gérard",Bonn,M
49588,Kato,Bonner,M
49692,Joseph,Bono,M
49724,Candido,Bonsato,M
49922,Mark,"Boone Junior",M
49993,"H. Gordon",Boos,M
50074,Roger,Booth,M
50085,"Tim (I)",Booth,M
50260,Eugene,Borden,M
50442,Nick,Borgani,M
50561,"Eric Bruno",Borgman,M
50569,Ernest,Borgnine,M
50700,Gene,Borkan,M
51319,Tom,Bosley,M
51398,Brian,Bossetta,M
51509,Charles,Boswell,M
51534,Charles,Bosworth,M
51561,Wade,Boteler,M
51588,Morne,Botes,M
51603,Gabriel,Botha,M
51604,Galen,Botha,M
51740,Sam,Bottoms,M
51754,Mathew,Botuchis,M
51909,Steve,Boucher,M
52396,Anderson,Bourell,M
52867,Simmy,Bow,M
52888,Jack,Bowden,M
52927,Douglass,"Bowen Flynn",M
52941,Cameron,Bowen,M
52978,"Michael (I)",Bowen,M
53076,"P. Randall",Bowers,M
53198,Grady,Bowman,M
53291,"John (II)",Boxer,M
53364,Sully,Boyar,M
53441,Cayden,Boyd,M
53534,"Stephen (I)",Boyd,M
53692,Billy,Boyle,M
53749,"Peter (I)",Boyle,M
54163,Tadeusz,Bradecki,M
54225,Les,Bradford,M
54304,"David (V)",Bradley,M
54326,"Harry C.",Bradley,M
54331,"James (I)",Bradley,M
54378,"Mike (I)",Bradley,M
54409,Spencer,Bradley,M
54440,Andy,Bradshaw,M
54812,Jake,Brake,M
54814,Richard,Brake,M
54978,Tom,Branch,M
55056,Neville,Brand,M
55108,Larry,Brandenburg,M
55174,Marlon,Brando,M
55210,"John (I)",Brandon,M
55314,Martin,Brandt,M
55690,Jack,Bratton-Ryan,M
55691,Tyler,Bratton-Ryan,M
55838,Asher,Brauner,M
55908,Guillermo,"Bravo Sosa",M
56056,Mark,Brayton,M
56063,Jay,Brazeau,M
56130,"George P.",Breakston,M
56177,Egon,Brecher,M
56329,Edmund,Breese,M
56345,"Mario (I)",Brega,M
56450,Stanislaw,Brejdygant,M
56494,Arthur,Bremer,M
56513,Ewen,Bremner,M
56557,Nicholas,Brendon,M
56559,Al,Breneman,M
56856,Kevin,Breslin,M
56984,Peter,Brett,M
56996,"Matthew Allen",Bretz,M
57056,Bob,Brewer,M
57057,Bobby,Brewer,M
57073,"Ed (I)",Brewer,M
57143,Julian,Brewster,M
57191,Oto,Brezina,M
57193,Kevin,Breznahan,M
57356,Al,Bridge,M
57372,Derrick,Bridgeman,M
57413,Lloyd,Bridges,M
57435,Stephen,Bridgewater,M
57467,"Anthony 'Chip'",Brienza,M
57550,Harlan,Briggs,M
57565,Leon,Briggs,M
57631,Richard,Bright,M
57731,"Steven (I)",Brill,M
57916,Malone,Brinton,M
57957,"David (I)",Brisbin,M
58141,Leo,Britt,M
58196,"Christopher (II)",Britton,M
58391,Peter,Brocco,M
58566,Charley,Broderick,M
58570,"James (I)",Broderick,M
58855,William,Bronder,M
58871,Paul,Bronk,M
58954,"Jesús",Brook,M
58963,Sebastian,Brook,M
58994,"Paul (I)",Brooke,M
59057,Albert,Brooks,M
59067,"Avery (I)",Brooks,M
59112,"Dean R.",Brooks,M
59210,"Nick (I)",Brooks,M
59224,Ralph,Brooks,M
59225,Rand,Brooks,M
59227,"Randy (I)",Brooks,M
59385,Rick,Bross,M
59482,Ken,Brougham,M
59491,Christopher,Broughton,M
59673,"Alonzo (I)",Brown,M
59797,"Charles D. (I)",Brown,M
59799,"Charles Robert",Brown,M
59886,"David Harold",Brown,M
59962,"Everett (I)",Brown,M
60114,"Jerry (III)",Brown,M
60133,"Joe E.",Brown,M
60134,"John (I)",Brown,M
60416,Reb,Brown,M
60423,"Rich (III)",Brown,M
60426,"Richard (I)",Brown,M
60442,"Robert (I)",Brown,M
60479,"Russ (I)",Brown,M
60580,"Timothy Wayne",Brown,M
60620,Wally,Brown,M
60663,Alfred,Browne,M
60734,Lee,Brownfield,M
60899,Eddie,Bruce,M
60943,Nigel,Bruce,M
60976,Matthew,Bruch,M
61411,Dylan,Bruno,M
61490,Philip,Bruns,M
61700,"Christopher (I)",Bryan,M
61737,"Paul (I)",Bryan,M
61833,"Michael (I)",Bryant,M
61879,Michael,Bryar,M
61880,Paul,Bryar,M
61923,Rob,Brydon,M
62160,Tony,Bua,M
62226,Joe,"Bucaro III",M
62361,"Stephen (I)",Buchanan,M
62479,Cory,Buck,M
62556,Jason,Buckham,M
62617,Buz,Buckley,M
62745,Alexander,Buczolich,M
62749,Santino,Buda,M
62891,"Bill (I)",Buell,M
63146,Hans,Buhringer,M
63304,Ray,Buktenica,M
63409,"Peter (I)",Bull,M
63445,James,Bulleit,M
63487,Jeremy,Bulloch,M
63588,Rodger,Bumpass,M
63695,Edward,Bunker,M
63803,Sonny,Bupp,M
63804,Tommy,Bupp,M
63813,Cliff,Bura,M
63841,Jeff,Burbank,M
63924,Tim,Burd,M
63963,Ray,Burdis,M
64052,James,Burge,M
64131,"Michael (III)",Burgess,M
64164,Arthur,Burghardt,M
64259,Jim,Burk,M
64279,Art,Burke,M
64328,"James (I)",Burke,M
64359,Maclean,Burke,M
64430,Victor,Burke,M
64432,Walter,Burke,M
64451,Scott,Burkett,M
64493,Dennis,Burkley,M
64682,Frank,Burnett,M
64856,Edmund,Burns,M
64857,"Edward (I)",Burns,M
65057,Raymond,Burr,M
65161,"Peter (I)",Burroughs,M
65176,Bill,Burrows,M
65353,Frederick,Burton,M
65400,Norman,Burton,M
65401,"Noël",Burton,M
65405,Peter,Burton,M
65411,"Richard (I)",Burton,M
65421,"Roger V.",Burton,M
65437,"Tony (I)",Burton,M
65514,Sammy,Busby,M
65536,Steve,Buscemi,M
65565,Paul,Busch,M
65610,Adrian,Bush,M
65641,"Grand L.",Bush,M
65642,"James (I)",Bush,M
65654,Mike,Bush,M
65655,Morris,Bush,M
65675,"Steven (I)",Bush,M
65892,Humberto,Busto,M
66119,Garner,Butler,M
66154,"John (I)",Butler,M
66224,"Tim (I)",Butler,M
66299,Fred,Butter,M
66350,"Haymon Maria",Buttinger,M
66418,Ishaq,Bux,M
66479,Lando,Buzzanca,M
66495,Ezra,Buzzington,M
66579,Bo,Byers,M
66601,Steve,Byers,M
66711,"David (II)",Byrd,M
66721,Eugene,Byrd,M
66800,"Gerry Robert",Byrne,M
66825,"Michael (I)",Byrne,M
67337,Paul,"Bös",M
67829,Lorenzo,Caccialanza,M
68023,Frank,Cady,M
68121,Matteo,Cafiso,M
68191,Paul,Cagney,M
68239,"James (III)",Cahill,M
68419,Howard,Caine,M
68424,"Michael (I)",Caine,M
68501,Pasquale,Cajano,M
68570,Neill,Calabro,M
68614,Michael,Calandrino,M
68754,Paul,Calderon,M
68803,Sonny,Caldinez,M
68900,Joel,Calendrillo,M
68937,Louis,Calhern,M
69058,"John (I)",Call,M
69139,"Kevin (III)",Callahan,M
69140,Lee,Callahan,M
69204,William,Callaway,M
69226,Joseph,Calleia,M
69231,Ray,Calleja,M
69259,Stephen,Callender-Ferrier,M
69328,Simon,Callow,M
69555,"Manuel (I)",Calvo,M
69788,Steve,Camber,M
69919,"Don (II)",Cameron,M
70035,Terry,Camilleri,M
70148,Nelson,Camp,M
70251,"Alexander (I)",Campbell,M
70256,"Andrew (IV)",Campbell,M
70282,"Bruce (I)",Campbell,M
70296,"Charles L. (I)",Campbell,M
70398,Gerardo,Campbell,M
70437,"Jeff (VII)",Campbell,M
70471,"Ken Hudson",Campbell,M
70557,"Rob (I)",Campbell,M
70588,Sol,Campbell,M
70612,Vernon,Campbell,M
70621,"William (IX)",Campbell,M
70862,Victor,Campos,M
70893,Andrew,Camuccio,M
70894,Brian,Camuccio,M
70910,"Thomas E.",Camuti,M
71185,Gene,Canfield,M
71289,"Robert Hammer",Cannerday,M
71345,J.D.,Cannon,M
71355,"Joe (III)",Cannon,M
71532,Giorgio,Cantarini,M
71565,George,Cantero,M
71690,Paul,Cantuba,M
71699,Mickey,Cantwell,M
71744,Joe,Canutt,M
71746,Yakima,Canutt,M
71767,"Jason Ninh",Cao,M
71811,Otello,Capanna,M
71871,Peter,Capell,M
71971,Bill,Capizzi,M
72084,Truman,Capote,M
72215,Mark,Capri,M
72275,Jay,Caputo,M
72356,Paul,Carafotes,M
72672,Ben,Cardinal,M
72804,Anthony,Cardoza,M
72954,Harry,Carey,M
72967,Keith,Carey,M
72969,Leonard,Carey,M
73002,Timothy,Carey,M
73009,"Tony (II)",Carey,M
73278,Paolo,Carlini,M
73474,"Gary (I)",Carlson,M
73475,"Gary (II)",Carlson,M
73592,Carl,Carlsson-Wollbruck,M
73677,"Robert (I)",Carlyle,M
73718,Paul,Carmello,M
73771,Tullio,Carminati,M
73949,Larry,Carney,M
73950,Liam,Carney,M
74142,"Bob (II)",Carpenter,M
74197,"John (III)",Carpenter,M
74203,"Ken (I)",Carpenter,M
74449,David,Carradine,M
74450,John,Carradine,M
74537,Rene,Carrasco,M
74580,Behal,Carrell,M
74594,Emile,Carrer,M
74666,Jim,Carrey,M
74689,Neil,Carrick,M
74700,Albert,Carrier,M
74914,"Brandon (III)",Carroll,M
74987,"Larry (I)",Carroll,M
74991,"Leo G.",Carroll,M
75016,"Robert (I)",Carroll,M
75162,"Jack (I)",Carson,M
75180,Ken,Carson,M
75216,Wayne,Carson,M
75266,Aaron,Carter,M
75431,"John (IV)",Carter,M
75464,"Michael (I)",Carter,M
75651,"Peter (I)",Cartwright,M
75736,"Phillip V.",Caruso,M
75746,Burr,Caruth,M
76252,John,Case,M
76291,Mark,Casella,M
76303,Richard,Caselnova,M
76325,Clem,Caserta,M
76326,Frankie,Caserta,M
76344,"Brian (II)",Casey,M
76433,Taggart,Casey,M
76570,Anthony,Caso,M
76610,Dean,Casper,M
76612,"F. Marcus",Casper,M
76653,Marc,Cass,M
76655,Maurice,Cass,M
76728,John,Cassavetes,M
76791,Bobby,Cassidy,M
76796,"David (I)",Cassidy,M
76872,John,Cassini,M
76951,Craig,Castaldo,M
76972,Akima,Castaneda,M
77270,Jonathan,Castile,M
77286,Chris,Castillejo,M
77361,Heriberto,Castillo,M
77406,Patricio,Castillo,M
77501,William,Castle,M
77522,Jarvis,Caston,M
77617,"Fidel (I)",Castro,M
77622,"Félix",Castro,M
77890,Bill,Catching,M
77958,"Reg E.",Cathey,M
78273,Jason,Cavalier,M
78341,Allan,Cavan,M
78389,"J. Cortes",Cavanillas,M
78436,Marc,Cavell,M
78470,Dick,Cavett,M
78482,James,Caviezel,M
78498,Martin,Cavina,M
78574,John,Cazale,M
78776,Jonathan,Cecil,M
79048,Peter,Cellier,M
79165,Jim,Centofanti,M
79210,David,Cera,M
79409,Daniel,Cerqueira,M
79491,Gary,Cervantes,M
79638,Carlos,Cestero,M
80039,Scott,Chait,M
80052,Shaun,Chaiyabhat,M
80172,Gary,Chalk,M
80213,Edward,"Chalmers Jr.",M
80289,Howland,Chamberlain,M
80348,"Brian (I)",Chambers,M
80378,Hennen,Chambers,M
80418,"Robert (I)",Chambers,M
80475,Dan,Chameroy,M
80862,"Michael (I)",Chance,M
80870,"John (I)",Chancellor,M
80875,Norman,Chancer,M
80909,Barry,Chandler,M
80930,Eddy,Chandler,M
80936,George,Chandler,M
80958,Lane,Chandler,M
80971,Randy,Chandler,M
81029,Lon,"Chaney Jr.",M
81313,Jan,Chapados,M
81370,Michael,Chapin,M
81396,Charles,Chaplin,M
81465,Graham,Chapman,M
81486,"Kevin (I)",Chapman,M
81735,David,Charkham,M
81899,Ian,Charleson,M
82004,Jordan,Charney,M
82080,Michael,Charrois,M
82337,Geoffrey,Chater,M
82347,"Bill (II)",Chatham,M
82366,Glenndon,Chatman,M
82422,Shekhar,Chatterjee,M
82433,Tom,Chatterton,M
82440,Bryan,Chattoo,M
82455,Raj,Chaturvedi,M
82461,"Justin (I)",Chatwin,M
82660,Casey,Chavez,M
82770,Don,Cheadle,M
82885,Gary,Cheeseman,M
82887,Ken,Cheeseman,M
83591,Jonathan,Cherry,M
83650,Harry,Cheshire,M
84075,Minoru,Chiaki,M
84085,Dominic,Chianese,M
84189,"Ichirô",Chiba,M
84199,Sonny,Chiba,M
84289,Michael,Chieffo,M
84498,"Costas Dino",Chimona,M
84627,James,Chinlund,M
84632,Anthony,Chinn,M
84795,Jimmy,Chisholm,M
84902,Fred,Chiverton,M
84990,John,Cho,M
85139,Min-sik,Choi,M
86193,George,Christy,M
86198,"James V.",Christy,M
86201,"Ken (I)",Christy,M
86349,Yura,Chuchunov,M
86352,Techno,Chuck,M
86588,Richard,Church,M
86861,"John 'Cha Cha'",Ciarcia,M
86866,Carl,Ciarfalio,M
86896,Peter,Cicale,M
86947,Rick,Cicetti,M
87494,Michael,Citriniti,M
87793,Daniel,Clarin,M
87822,"Andrew B.",Clark,M
87832,Ariel,Clark,M
87899,"Cliff (I)",Clark,M
87938,Del,Clark,M
87940,"Dick (I)",Clark,M
87962,"Edward (I)",Clark,M
87969,"Eric (I)",Clark,M
87971,"Ernest (I)",Clark,M
87983,"Fred (I)",Clark,M
88013,"Graham (I)",Clark,M
88173,Mystro,Clark,M
88251,Sanders,Clark,M
88262,"Spencer Treat",Clark,M
88310,Wallis,Clark,M
88311,"Wayne (I)",Clark,M
88497,"Philip L.",Clarke,M
88500,"Richard (I)",Clarke,M
89020,John,Cleese,M
89127,Francesco,Clemente,M
89163,"John (I)",Clements,M
89229,Bob,Clendenin,M
89366,"John (I)",Clifford,M
89378,"Paul (II)",Clifford,M
89394,Montgomery,Clift,M
89423,"Patrick J.",Clifton,M
89729,Sidney,Clute,M
89733,Tim,Clutterbuck,M
89883,Conrad,Coates,M
89895,Kim,Coates,M
89951,Edmund,Cobb,M
89970,"Lee J.",Cobb,M
89995,Bill,Cobbs,M
90069,James,Coburn,M
90279,Johnny,Cocktails,M
90380,Harry,Cody,M
90555,"Scott (I)",Coffey,M
90641,Frank,"Coghlan Jr.",M
90718,"Ben (I)",Cohen,M
90772,"Eric (I)",Cohen,M
90816,J.J.,Cohen,M
