id,name,year,quality
165961,Jaws,1975,1
169942,"Judgment at Nuremberg",1961,1
176711,"Kill Bill: Vol. 1",2003,1
177138,"Kind Hearts and Coronets",1949,1
182955,"L.A. Confidential",1997,1
184978,Laserblast,1978,0
186431,"Lawnmower Man 2: Beyond Cyberspace",1996,0
186439,"Lawrence of Arabia",1962,1
187908,"Leonard Part 6",1987,0
190166,"Life of Brian",1979,1
193253,"Lock, Stock and Two Smoking Barrels",1998,1
198435,M,1931,1
200521,Magnolia,1999,1
204163,Manhattan,1979,1
210511,Memento,2000,1
211506,"Merlin's Shop of Mystical Wonders",1996,0
212097,Metropolis,1927,1
216312,Mitchell,1975,0
216964,"Modern Times",1936,1
218346,"Monster a-Go Go",1965,0
218415,"Monsters, Inc.",2001,1
218599,"Monty Python and the Holy Grail",1975,1
221130,"Mr. Smith Goes to Washington",1939,1
224842,"Mystic River",2003,1
230151,Network,1976,1
232275,"Night Train to Mundo Fine",1966,0
232829,"Nine Lives",2002,0
235062,"North by Northwest",1959,1
235676,Notorious,1946,1
239851,Oldboy,2003,1
240922,"On the Waterfront",1954,1
241141,"Once Upon a Time in America",1984,1
241347,"One Flew Over the Cuckoo's Nest",1975,1
250612,"Paths of Glory",1957,1
253440,Persona,1966,1
256632,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,1
257459,Platoon,1986,1
260430,Popstar,2005,0
266574,Psycho,1960,1
267038,"Pulp Fiction",1994,1
270971,"Raging Bull",1980,1
271095,"Raiders of the Lost Ark",1981,1
271915,Ran,1985,1
273543,"Rear Window",1954,1
273585,Rebecca,1940,1
276085,"Requiem for a Dream",2000,1
276217,"Reservoir Dogs",1992,1
280270,Rocky,1976,1
280803,"Roman Holiday",1953,1
281546,Rope,1948,1
281937,"Rosemary's Baby",1968,1
287712,"Santa Claus",1959,0
287719,"Santa Claus Conquers the Martians",1964,0
287782,"Santa with Muscles",1996,0
289109,"Saving Private Ryan",1998,1
289558,Scarface,1983,1
290070,"Schindler's List",1993,1
291698,Se7en,1995,1
302150,"Simon Sez",1999,0
302329,"Sin City",2005,1
302696,"Singin' in the Rain",1952,1
306032,Snatch.,2000,1
306312,"Snowboard Academy",1996,0
307913,"Some Like It Hot",1959,1
308396,"Son of the Mask",2005,0
309597,Soultaker,1990,0
310141,"Space Mutiny",1988,0
312934,"Stalag 17",1953,1
312963,Stalker,1979,1
313059,"Stand by Me",1986,1
313478,"Star Wars: Episode V - The Empire Strikes Back",1980,1
313479,"Star Wars: Episode VI - Return of the Jedi",1983,1
316323,"Strangers on a Train",1951,1
319181,"Sunset Blvd.",1950,1
319516,"SuperBabies: Baby Geniuses 2",2004,1
324371,Tangents,1994,0
326155,"Taxi Driver",1976,1
328277,"Terminator 2: Judgment Day",1991,1
334212,"To Kill a Mockingbird",1962,1
336683,"Touch of Evil",1958,1
337166,"Toy Story",1995,1
337307,"Track of the Moon Beast",1976,0
337830,Trainspotting,1996,1
340247,"Troll 2",1990,0
342384,"Twelve Monkeys",1995,1
346949,Unforgiven,1992,1
352639,Vertigo,1958,1
364329,"Who's Afraid of Virginia Woolf?",1966,1
366987,"Witness for the Prosecution",1957,1
371844,Yojimbo,1961,1
375706,"Zombie Nightmare",1986,0
